iter	Passed	Remaining
409	3659	5265
410	3665	5252
411	3671	5240
412	3678	5227
413	3684	5214
414	3690	5201
415	3696	5189
416	3702	5176
417	3709	5164
418	3714	5151
419	3720	5137
420	3725	5124
421	3731	5110
422	3736	5096
423	3742	5083
424	3747	5070
425	3753	5057
426	3758	5044
427	3764	5031
428	3770	5018
429	3775	5004
430	3781	4992
431	3787	4979
432	3792	4965
433	3797	4953
434	3804	4940
435	3810	4928
436	3816	4916
437	3821	4903
438	3827	4891
439	3832	4878
440	3838	4865
441	3844	4852
442	3849	4840
443	3855	4827
444	3860	4814
445	3866	4802
446	3871	4789
447	3877	4777
448	3883	4765
449	3889	4753
450	3896	4743
451	3903	4732
452	3909	4720
453	3914	4707
454	3919	4695
455	3926	4683
456	3931	4671
457	3937	4659
458	3943	4648
459	3949	4636
460	3954	4624
461	3961	4612
462	3966	4600
463	3972	4588
464	3978	4577
465	3984	4565
466	3990	4554
467	3996	4543
468	4002	4531
469	4008	4519
470	4013	4508
471	4019	4496
472	4025	4484
473	4030	4473
474	4036	4461
475	4042	4450
476	4047	4438
477	4052	4425
478	4058	4414
479	4063	4402
480	4068	4390
481	4074	4378
482	4079	4367
483	4085	4355
484	4091	4344
485	4096	4332
486	4101	4320
487	4107	4309
488	4112	4297
489	4116	4285
490	4122	4273
491	4127	4261
492	4133	4250
493	4138	4239
494	4144	4227
495	4149	4216
496	4155	4205
497	4161	4194
498	4166	4183
499	4171	4171
500	4177	4160
501	4182	4149
502	4188	4138
503	4194	4127
504	4200	4117
505	4205	4106
506	4211	4095
507	4217	4085
508	4224	4074
509	4230	4064
510	4237	4054
511	4243	4044
512	4251	4035
513	4258	4026
514	4266	4017
515	4273	4008
516	4280	3998
517	4287	3989
518	4294	3980
519	4302	3971
520	4309	3961
521	4317	3953
522	4325	3944
523	4333	3936
524	4341	3928
525	4350	3920
526	4358	3912
527	4369	3905
528	4379	3899
529	4391	3894
530	4401	3887
531	4410	3880
532	4420	3873
533	4430	3866
534	4438	3858
535	4448	3850
536	4456	3842
537	4465	3834
538	4473	3826
539	4481	3817
540	4488	3808
541	4495	3799
542	4503	3790
543	4510	3780
544	4516	3770
545	4523	3760
546	4529	3750
547	4535	3740
548	4540	3730
549	4546	3719
550	4551	3709
551	4556	3698
552	4561	3687
553	4567	3677
554	4574	3667
555	4579	3657
556	4585	3647
557	4591	3636
558	4597	3626
559	4603	3616
560	4609	3607
561	4615	3597
562	4622	3588
563	4629	3579
564	4637	3570
565	4643	3560
566	4650	3551
567	4657	3542
568	4665	3533
569	4672	3524
570	4679	3515
571	4686	3506
572	4694	3498
573	4703	3490
574	4711	3482
575	4720	3474
576	4730	3467
577	4740	3460
578	4750	3454
579	4762	3448
580	4773	3442
581	4783	3435
582	4795	3429
583	4808	3424
584	4819	3418
585	4830	3412
586	4843	3407
587	4854	3401
588	4863	3394
589	4875	3388
590	4886	3381
591	4898	3376
592	4909	3369
593	4922	3364
594	4933	3357
595	4944	3351
596	4955	3345
597	4966	3338
598	4978	3332
599	4988	3325
600	4999	3318
601	5008	3311
602	5017	3303
603	5026	3295
604	5034	3286
605	5042	3278
606	5049	3269
607	5056	3260
608	5064	3251
609	5071	3242
610	5078	3233
611	5084	3223
612	5092	3214
613	5098	3205
614	5105	3196
615	5112	3187
616	5118	3177
617	5124	3167
618	5129	3157
619	5135	3147
620	5140	3137
621	5145	3127
622	5151	3117
623	5157	3107
624	5163	3097
625	5166	3086
626	5172	3077
627	5178	3067
628	5184	3057
629	5191	3048
630	5197	3039
631	5203	3029
632	5210	3020
633	5216	3011
634	5223	3002
635	5231	2994
636	5239	2985
637	5247	2977
638	5254	2968
639	5262	2959
640	5270	2951
641	5278	2943
642	5288	2936
643	5298	2928
644	5308	2921
645	5320	2915
646	5329	2907
647	5339	2900
648	5349	2893
649	5361	2886
650	5372	2880
651	5381	2872
652	5392	2865
653	5403	2858
654	5414	2852
655	5425	2845
656	5436	2838
657	5446	2830
658	5458	2824
659	5469	2817
660	5481	2811
661	5492	2804
