iter	RMSE
349	59.51053588
350	59.48497614
351	59.47184393
352	59.46276286
353	59.44559805
354	59.42808169
355	59.40415251
356	59.39113125
357	59.37248684
358	59.354868
359	59.34192536
360	59.32407532
361	59.31399204
362	59.29728305
363	59.284822
364	59.27172665
365	59.25904266
366	59.2430697
367	59.23461751
368	59.21174756
369	59.19594822
370	59.178029
371	59.16694233
372	59.15205536
373	59.14234981
374	59.12572072
375	59.12104825
376	59.10435622
377	59.0928883
378	59.07919865
379	59.06355371
380	59.05238065
381	59.03987782
382	59.02896158
383	59.01526921
384	58.99666244
385	58.98616187
386	58.97031822
387	58.95714629
388	58.9452911
389	58.93365284
390	58.92098086
391	58.90402952
392	58.89497852
393	58.87867368
394	58.86169926
395	58.8523675
396	58.83783892
397	58.82338008
398	58.8186639
399	58.80777058
400	58.79484328
401	58.78579536
402	58.77795183
403	58.76303174
404	58.75030619
405	58.74188595
406	58.73114392
407	58.71622112
408	58.70277969
409	58.69573114
410	58.6833906
411	58.6633258
412	58.64884967
413	58.63243838
414	58.62381528
415	58.61679169
416	58.60565385
417	58.59604853
418	58.58390193
419	58.57104165
420	58.56118327
421	58.54730693
422	58.53292938
423	58.52168411
424	58.51182893
425	58.49543134
426	58.48151569
427	58.46909513
428	58.45336521
429	58.44470067
430	58.4378655
431	58.4271365
432	58.41453297
433	58.40291543
434	58.38903233
435	58.38140786
436	58.37169852
437	58.36461554
438	58.35232998
439	58.33920479
440	58.33058193
441	58.32103451
442	58.30855387
443	58.30291981
444	58.28451564
445	58.27191158
446	58.25865959
447	58.2500337
448	58.23469245
449	58.22549014
450	58.21173767
451	58.20324547
452	58.18930854
453	58.17713932
454	58.16483332
455	58.1576519
456	58.15043262
457	58.14119729
458	58.12647059
459	58.12140463
460	58.10894249
461	58.09995264
462	58.09468047
463	58.08893103
464	58.07703233
465	58.06361003
466	58.05669341
467	58.04741498
468	58.03962178
469	58.03197887
470	58.02699384
471	58.01112358
472	58.00004743
473	57.98550673
474	57.97289171
475	57.96385887
476	57.94989391
477	57.93790521
478	57.92234194
479	57.91267228
480	57.89944722
481	57.89409725
482	57.88549632
483	57.87150103
484	57.85960796
485	57.84640115
486	57.83797789
487	57.81957209
488	57.80893242
489	57.79697883
490	57.78995005
491	57.7739033
492	57.76426131
493	57.74615117
494	57.73538351
495	57.72711493
496	57.7152254
497	57.70594666
498	57.6990056
499	57.69173145
500	57.68392842
501	57.66633044
502	57.65636426
503	57.64260056
504	57.63673458
505	57.62501496
506	57.61277061
507	57.60604158
508	57.59934914
509	57.59152611
510	57.582526
511	57.57181316
512	57.55872913
513	57.55046747
514	57.54270083
515	57.53235318
516	57.52212435
517	57.51129303
518	57.50011581
519	57.48863182
520	57.48203411
521	57.47176946
522	57.45886578
523	57.44267487
524	57.4348999
525	57.42828022
526	57.41130683
527	57.40383887
528	57.3853582
529	57.37418149
530	57.36747418
531	57.36311338
532	57.35392887
533	57.34698055
534	57.33957026
535	57.32568145
536	57.31626773
537	57.30957762
538	57.29892725
539	57.2830712
540	57.27278114
541	57.26758945
542	57.26151923
543	57.24996221
544	57.23890234
545	57.23095907
546	57.22031186
547	57.21159974
548	57.20178511
549	57.19085208
550	57.18403801
551	57.17707797
552	57.16744211
553	57.15821168
554	57.15010786
555	57.13742975
556	57.13138511
557	57.12271108
558	57.11571161
559	57.10589495
560	57.0993595
561	57.09069062
562	57.08612201
563	57.07820235
564	57.06756518
565	57.05781346
566	57.0489001
567	57.04194054
568	57.03469018
569	57.02593184
570	57.01163528
571	57.00029234
572	56.98829057
573	56.98263549
574	56.97304215
575	56.96496027
576	56.95567339
577	56.94273378
578	56.93678139
579	56.9236923
580	56.91418339
581	56.90342861
582	56.89188893
583	56.88457936
584	56.87363544
585	56.86733925
586	56.85476939
587	56.84502213
588	56.83610911
589	56.82020012
590	56.8066445
591	56.80015852
592	56.78738548
593	56.77769533
594	56.76418929
595	56.75719508
596	56.74758261
597	56.73934689
598	56.73241757
599	56.72439037
600	56.71234045
601	56.70678129
602	56.70051779
603	56.68848239
604	56.68037672
605	56.66697644
606	56.65389408
607	56.64227614
608	56.63484719
609	56.62790135
610	56.6236798
611	56.61795004
612	56.60396372
613	56.59769681
614	56.58898052
615	56.575275
616	56.56615312
617	56.55911551
618	56.55402927
619	56.54552798
620	56.5353313
621	56.52916602
622	56.52297232
623	56.5095825
624	56.50454505
625	56.49978574
626	56.49324431
627	56.48351647
628	56.47523848
629	56.4680085
630	56.45979079
631	56.45263462
632	56.44525514
633	56.43682098
634	56.43008301
635	56.42073021
636	56.41476722
637	56.40803695
638	56.39663503
639	56.38929273
640	56.3815145
641	56.36988984
642	56.36237757
643	56.35052375
644	56.3440676
645	56.3374586
646	56.33662216
647	56.32410633
648	56.31183649
649	56.30184926
650	56.29290759
651	56.28670377
652	56.27955553
653	56.2661315
654	56.25514696
655	56.24748302
656	56.23864962
657	56.22605185
658	56.21767579
659	56.20902921
660	56.20024623
661	56.19350188
662	56.17754359
663	56.17127322
664	56.15853329
665	56.15099597
666	56.14536152
667	56.1393451
668	56.13090257
669	56.12396221
670	56.11707786
671	56.10939268
672	56.09891967
673	56.08793492
674	56.06838911
675	56.05984268
676	56.04790203
677	56.03594414
678	56.03157828
679	56.02761053
680	56.02026033
681	56.01415031
682	56.00448197
683	55.9976482
684	55.98935134
685	55.98429195
686	55.97869117
687	55.97575868
688	55.96467969
689	55.95880716
690	55.95436903
691	55.94358384
692	55.93806319
693	55.93148879
694	55.92489655
695	55.916479
696	55.91118051
697	55.90321625
698	55.89561712
699	55.88354908
700	55.87826066
701	55.86770657
702	55.86287378
703	55.8535186
704	55.84723564
705	55.83927759
706	55.83074653
707	55.8190344
708	55.80726302
709	55.79880934
710	55.78954009
711	55.78138855
712	55.77417167
713	55.7660764
714	55.7574551
715	55.75151846
716	55.74844186
717	55.73859496
718	55.73294769
719	55.72654309
720	55.71209133
721	55.7029173
722	55.69299843
723	55.68517051
724	55.67535626
725	55.6675302
726	55.65992322
727	55.64984923
728	55.63764774
729	55.63276467
730	55.62734423
731	55.62448863
732	55.61709169
733	55.61082003
734	55.6053953
735	55.59557362
736	55.58700448
737	55.58242122
738	55.57243743
739	55.56744174
740	55.55914086
741	55.55196651
742	55.54726046
743	55.53473182
744	55.5237135
745	55.52010972
746	55.51131685
747	55.50439625
748	55.49552574
749	55.48618201
750	55.48064846
751	55.47195509
752	55.46191243
753	55.45616787
754	55.44661562
755	55.43875157
756	55.43334348
757	55.42645222
758	55.41542923
759	55.40812138
760	55.4005188
761	55.39270476
762	55.38744961
763	55.3787437
764	55.37190141
765	55.36336681
766	55.35200173
767	55.34449964
768	55.34102507
769	55.33117667
770	55.32414351
771	55.32036066
772	55.31435116
773	55.30507432
774	55.30125239
775	55.29063116
776	55.27845776
777	55.27402659
778	55.26799313
779	55.258027
780	55.2475673
781	55.23996176
782	55.23091241
783	55.22334841
784	55.21845997
785	55.2183657
786	55.2082619
787	55.20123521
788	55.19286883
789	55.18587156
790	55.17936851
791	55.17215727
792	55.16128874
793	55.15678293
794	55.14672705
795	55.13973385
796	55.12731175
797	55.12420042
798	55.1174482
799	55.10880856
800	55.1045203
801	55.09719191
802	55.08177945
803	55.06989313
804	55.06191477
805	55.05191393
806	55.03963722
807	55.03529607
808	55.02886365
809	55.0195484
810	55.01341501
811	55.00705823
812	54.99506881
813	54.98843501
814	54.98072743
815	54.97570703
816	54.97563674
817	54.97229696
818	54.96511593
819	54.95950131
820	54.95110656
821	54.94239125
822	54.93585052
823	54.92725459
824	54.92452919
825	54.91441315
826	54.91434863
827	54.90943993
828	54.90021244
829	54.89069986
830	54.88420844
831	54.87401686
832	54.86649936
833	54.85962158
834	54.85113746
835	54.84204602
836	54.83860406
837	54.83436467
838	54.82948239
839	54.82024073
840	54.81301579
841	54.81041277
842	54.80282675
843	54.79753466
844	54.7928401
845	54.78275037
846	54.77728865
847	54.77153573
848	54.76850667
849	54.7596749
850	54.75505632
851	54.74854101
852	54.74093094
853	54.73766269
854	54.72913478
855	54.72145693
856	54.70982903
857	54.70315146
858	54.69419027
859	54.68532566
860	54.67783814
861	54.67180186
862	54.66335803
863	54.65631433
864	54.64523987
865	54.63833328
866	54.63337907
867	54.62744563
868	54.62004546
869	54.61500952
870	54.61242982
871	54.60560284
872	54.60203243
873	54.59564329
874	54.5887758
875	54.58058592
876	54.57300571
877	54.56566451
878	54.55893081
879	54.54371727
880	54.53811767
881	54.52896279
882	54.52891661
883	54.52405682
884	54.51749476
885	54.5068767
886	54.49918542
887	54.49152003
888	54.4841157
889	54.47749183
890	54.47299823
891	54.47295707
892	54.46455697
893	54.45538049
894	54.44581363
895	54.43662996
896	54.42832869
897	54.42227814
898	54.41674485
899	54.40869359
900	54.40264171
901	54.39417355
902	54.38739652
903	54.37830222
904	54.3689084
905	54.35978733
906	54.35068513
907	54.34386983
908	54.33685194
909	54.33156983
910	54.32179522
911	54.31675823
912	54.3073752
913	54.29741405
914	54.28954324
915	54.28041431
916	54.27133097
917	54.26255244
918	54.25550714
919	54.24620366
920	54.23982595
921	54.23232377
922	54.22776768
923	54.22118296
924	54.21343876
925	54.20647164
926	54.19916497
927	54.1923813
928	54.18722028
929	54.18313855
930	54.17633228
931	54.17230003
932	54.16525551
933	54.15951984
934	54.15298627
935	54.1502356
936	54.14023709
937	54.13516754
938	54.1280342
939	54.12242555
940	54.11551694
941	54.10723987
942	54.09847191
943	54.09147578
944	54.08524735
945	54.08035114
946	54.07729368
947	54.06883819
948	54.06142234
949	54.05518393
950	54.04913915
951	54.04141414
952	54.03472069
953	54.03188903
954	54.0216712
955	54.01246846
956	54.00412533
957	53.99880048
958	53.99271287
959	53.9846597
960	53.97466813
961	53.96419678
962	53.95595527
963	53.94971426
964	53.94246419
965	53.93961445
966	53.9291893
967	53.91707549
968	53.9089506
969	53.90115694
970	53.89579097
971	53.88408005
972	53.87827537
973	53.86893081
974	53.85988216
975	53.85169959
976	53.84417474
977	53.83688881
978	53.83173875
979	53.82458067
980	53.81718111
981	53.8140576
982	53.80852188
983	53.80318383
984	53.79563757
985	53.78954012
986	53.78297437
987	53.7722763
988	53.76689694
989	53.76320665
990	53.75868284
991	53.75122169
992	53.74551093
993	53.74074794
994	53.72745282
995	53.72406941
996	53.71631134
997	53.70737309
998	53.69873605
999	53.68888726
